ID,Start_time,Completion_time,Age_Range,Gender,Employment_Status,Country,Covid_Impact,Hygiene_Concern,Hygiene_Product,Usage_Frequency,PreCOVID_Spend,PostCOVID_Spend,Purchase_Frequency,Usage_Change,Products_Essential,Awareness_Impact,Info_Source,Purchase_Factors,Brand_Switch,Health_Belief,Precautions_Continuity
1,3-29-24 20:14:36,3-29-24 20:17:53,Below 20,Female,Self-employed,United States,Actually improved some aspects of my daily routines, Very concerned,Mask;Gloves;Hand sanitizer/ Clorox;,Several times a week,Less than $40,$80-$120,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;Recommendations from friends and family;,Price;Brand reputation/trust;Availability;,No,Extremely significant,"No, I will reduce my precautions"
2,3-29-24 20:22:10,3-29-24 20:37:03,31-40,Female,Student,United States,Actually improved some aspects of my daily routines, Very concerned,Mask;Gloves;Hand sanitizer/ Clorox;Disinfectant spray;,Weekly,Less than $40,$40-$80,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Recommendations from friends and family;Social media and online platforms;,Product effectiveness;Recommendations (Health authorities/friends/family);Availability;Price;,No,Extremely significant,"Yes, I will continue with the same precautions"
3,3-29-24 21:14:55,3-29-24 21:15:35,21-30,Male,Student,United States,No major impact on my daily routines,Somewhat concerned,Mask;,Rarely/Never,$40 - $80,Above $120,Less frequently (less than once a month),Decreased usage,"Yes, to some extent",Somewhat increased awareness and importance,Recommendations from friends and family;,Ingredients/composition;,No,Neutral,"No, I will reduce my precautions"
4,3-29-24 21:15:25,3-29-24 21:17:44,21-30,Female,Employed,India,Actually improved some aspects of my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;Gloves;,Weekly,Less than $40,Less than $40,Monthly,Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;In-store displays and promotions;,Brand reputation/trust;,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
5,3-29-24 21:15:12,3-29-24 21:18:47,21-30,Male,Student,United States,Significantly disrupted my daily routines,Somewhat concerned,Mask;Hand sanitizer/ Clorox;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, to some extent",Somewhat increased awareness and importance,In-store displays and promotions;,Product effectiveness;Ingredients/composition;Price;Brand reputation/trust;,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
6,3-29-24 21:16:49,3-29-24 21:19:00,21-30,Male,Employed,United States,Actually improved some aspects of my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;Disinfectant spray;,Several times a week,Less than $40,Less than $40,Monthly,Decreased usage,"Yes, definitely", Significantly increased awareness and importance,Recommendations from friends and family;In-store displays and promotions;,Brand reputation/trust;Price;Availability;Recommendations (Health authorities/friends/family);,No,Extremely significant,"No, I will reduce my precautions"
7,3-29-24 21:17:57,3-29-24 21:20:18,21-30,Female,Student,United States,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;Other;Disinfectant spray;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;,Ingredients/composition;Recommendations (Health authorities/friends/family);Product effectiveness;Price;,No,Extremely significant,"Yes, I will continue with the same precautions"
8,3-29-24 21:16:56,3-29-24 21:20:35,21-30,Male,Student,India,Actually improved some aspects of my daily routines, Very concerned,Disinfectant spray;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Social media and online platforms;Television advertisements;,Availability;Price;Recommendations (Health authorities/friends/family);,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
9,3-29-24 21:19:13,3-29-24 21:22:18,21-30,Female,Student,United States,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;,Monthly,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;Recommendations from friends and family;In-store displays and promotions;,Brand reputation/trust;Recommendations (Health authorities/friends/family);,No,Somewhat significant,"Yes, I will continue with the same precautions"
10,3-29-24 21:23:44,3-29-24 21:25:41,21-30,Female,Student,United States,Actually improved some aspects of my daily routines,Neutral,Hand sanitizer/ Clorox;Gloves;,Weekly,Less than $40,$40-$80,Monthly,Increased usage,"Yes, to some extent",Somewhat increased awareness and importance,Television advertisements;Social media and online platforms;In-store displays and promotions;,Brand reputation/trust;Price;Availability;Recommendations (Health authorities/friends/family);Product effectiveness;,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
11,3-29-24 21:28:54,3-29-24 21:31:01,21-30,Female,Student,United States ,Significantly disrupted my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;Disinfectant spray;,Several times a week,$40 - $80,Less than $40,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;,Ingredients/composition;Recommendations (Health authorities/friends/family);,Yes,Extremely significant,"Yes, I will continue with the same precautions"
12,3-29-24 21:34:18,3-29-24 21:36:44,21-30,Female,Student,United States ,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;Disinfectant spray;Mask;,Several times a week,Less than $40,Less than $40,Several times a week,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;Recommendations from friends and family;,Brand reputation/trust;Price;Ingredients/composition;Recommendations (Health authorities/friends/family);,No,Extremely significant,"Yes, I will continue with the same precautions"
13,3-29-24 21:33:24,3-29-24 21:36:45,21-30,Female,Student,United States,No major impact on my daily routines, Very concerned,Hand sanitizer/ Clorox;Disinfectant spray;Gloves;,Several times a week,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;In-store displays and promotions;,Brand reputation/trust;Price;,Yes,Extremely significant,"No, I will reduce my precautions"
14,3-29-24 21:38:00,3-29-24 21:39:44,31-40,Female,Employed,India,Significantly disrupted my daily routines,Somewhat concerned,Mask;,Several times a week,Less than $40,Less than $40,Monthly,Decreased usage,"No, not at all", Significantly increased awareness and importance,Recommendations from friends and family;,Recommendations (Health authorities/friends/family);,No,Extremely significant,"No, I will reduce my precautions"
15,3-29-24 21:38:13,3-29-24 21:40:38,21-30,Female,Student,United States,Significantly disrupted my daily routines, Very concerned,Disinfectant spray;Hand sanitizer/ Clorox;Mask;,Weekly,Less than $40,$40-$80,Monthly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Social media and online platforms;Television advertisements;,Brand reputation/trust;Price;Ingredients/composition;Product effectiveness;,Yes,Neutral,"Not sure yet, still evaluating"
16,3-29-24 21:40:20,3-29-24 21:42:31,21-30,Male,Student,United States ,No major impact on my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;,Several times a week,Less than $40,Less than $40,Monthly,No change in usage,"Yes, to some extent",No significant change,Television advertisements;Social media and online platforms;In-store displays and promotions;Recommendations from friends and family;,Product effectiveness;,No,Somewhat significant,"Yes, I will continue with the same precautions"
17,3-29-24 21:40:18,3-29-24 21:43:14,21-30,Female,Student,United States,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;Mask;Other;,Several times a week,$40 - $80,$40-$80,Several times a week,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;Recommendations from friends and family;In-store displays and promotions;Other;,Brand reputation/trust;Price;Availability;Ingredients/composition;Product effectiveness;Recommendations (Health authorities/friends/family);,Yes,Extremely significant,"Yes, I will continue with the same precautions"
18,3-29-24 21:48:56,3-29-24 21:52:39,31-40,Female,Self-employed,India,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;,Weekly,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;In-store displays and promotions;,Brand reputation/trust;Recommendations (Health authorities/friends/family);Product effectiveness;,No,Extremely significant,"Not sure yet, still evaluating"
19,3-29-24 21:48:20,3-29-24 21:53:30,21-30,Male,Employed,United States,Significantly disrupted my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;,Several times a week,$40 - $80,$40-$80,Weekly,Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Social media and online platforms;,Recommendations (Health authorities/friends/family);,No,Extremely significant,"Yes, I will continue with the same precautions"
20,3-29-24 21:51:13,3-29-24 21:54:27,21-30,Male,Employed,United States,No major impact on my daily routines,Neutral,Hand sanitizer/ Clorox;,Rarely/Never,Less than $40,Less than $40,Less frequently (less than once a month),Decreased usage,"No, not at all",Somewhat increased awareness and importance,Social media and online platforms;,Recommendations (Health authorities/friends/family);Availability;Price;,No,Somewhat significant,"No, I will reduce my precautions"
21,3-29-24 21:39:44,3-29-24 21:54:38,21-30,Male,Employed,United States,Actually improved some aspects of my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;Other;,Several times a week,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, to some extent", Significantly increased awareness and importance,In-store displays and promotions;,Recommendations (Health authorities/friends/family);Price;,No,Neutral,"No, I will reduce my precautions"
22,3-29-24 21:57:35,3-29-24 21:59:55,21-30,Female,Student,United States,No major impact on my daily routines, Very concerned,Mask;Gloves;Hand sanitizer/ Clorox;,Several times a week,$40 - $80,$40-$80,Monthly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Social media and online platforms;Television advertisements;Recommendations from friends and family;,Price;Availability;Brand reputation/trust;,Yes,Extremely significant,"Yes, I will continue with the same precautions"
23,3-29-24 21:57:49,3-29-24 22:06:40,31-40,Male,Employed,India ,No major impact on my daily routines,Neutral,Hand sanitizer/ Clorox;,Rarely/Never,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Social media and online platforms;,Product effectiveness;,Yes,Neutral,"No, I will reduce my precautions"
24,3-29-24 22:05:22,3-29-24 22:06:56,21-30,Female,Unemployed,United States,Actually improved some aspects of my daily routines,Neutral,Hand sanitizer/ Clorox;Disinfectant spray;,Weekly,$40 - $80,$80-$120,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;,Price;Brand reputation/trust;Recommendations (Health authorities/friends/family);Product effectiveness;,Yes,Extremely significant,"Not sure yet, still evaluating"
25,3-29-24 22:02:57,3-29-24 22:06:58,21-30,Male,Student,India ,Significantly disrupted my daily routines, Very concerned,Hand sanitizer/ Clorox;,Several times a week,Less than $40,$40-$80,Weekly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Social media and online platforms;In-store displays and promotions;Television advertisements;,Brand reputation/trust;Recommendations (Health authorities/friends/family);Product effectiveness;Ingredients/composition;,Yes,Extremely significant,"Yes, I will continue with the same precautions"
26,3-29-24 22:06:54,3-29-24 22:11:37,31-40,Female,Employed,Canada,No major impact on my daily routines,Neutral,Hand sanitizer/ Clorox;Mask;Disinfectant spray;,Weekly,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;In-store displays and promotions;Recommendations from friends and family;,Brand reputation/trust;Ingredients/composition;Recommendations (Health authorities/friends/family);,Yes,Extremely significant,"Yes, I will continue with the same precautions"
27,3-29-24 22:14:52,3-29-24 22:18:33,21-30,Male,Employed,United States ,Actually improved some aspects of my daily routines,Neutral,Hand sanitizer/ Clorox;Mask;,Several times a week,Less than $40,$40-$80,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Recommendations from friends and family;,Recommendations (Health authorities/friends/family);Brand reputation/trust;Availability;,Yes,Somewhat significant,"No, I will reduce my precautions"
28,3-29-24 22:12:46,3-29-24 22:20:13,Below 20,Male,Student,United States,No major impact on my daily routines, Very concerned,Hand sanitizer/ Clorox;,Weekly,Less than $40,Less than $40,Weekly,No change in usage,"Yes, to some extent",No significant change,Recommendations from friends and family;,Availability;,No,Neutral,"Not sure yet, still evaluating"
29,3-29-24 22:03:56,3-29-24 22:22:58,21-30,Male,Student,United States,No major impact on my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;Mask;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Recommendations from friends and family;Social media and online platforms;Television advertisements;,Product effectiveness;,Yes,Neutral,"No, I will reduce my precautions"
30,3-29-24 22:18:48,3-29-24 22:23:33,61 above,Male,Retired,India ,Actually improved some aspects of my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;Disinfectant spray;,Several times a week,$40 - $80,Above $120,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;Recommendations from friends and family;,Brand reputation/trust;Ingredients/composition;Recommendations (Health authorities/friends/family);,No,Extremely significant,"No, I will reduce my precautions"
31,3-29-24 22:22:43,3-29-24 22:26:27,21-30,Male,Employed,United States,Actually improved some aspects of my daily routines,Somewhat concerned,Mask;Hand sanitizer/ Clorox;Disinfectant spray;,Weekly,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Recommendations from friends and family;,Brand reputation/trust;Recommendations (Health authorities/friends/family);Product effectiveness;,No,Somewhat significant,"No, I will reduce my precautions"
32,3-29-24 22:28:58,3-29-24 22:31:03,21-30,Male,Student,United States,No major impact on my daily routines,Somewhat concerned,Other;,Rarely/Never,Less than $40,Less than $40,Less frequently (less than once a month),No change in usage,"No, not at all",No significant change,Social media and online platforms;,Price;Brand reputation/trust;Product effectiveness;,No,Neutral,"Not sure yet, still evaluating"
33,3-29-24 22:28:19,3-29-24 22:31:24,51-60,Female,Homemaker,India ,Actually improved some aspects of my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;Disinfectant spray;,Several times a week,$40 - $80,Above $120,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;Recommendations from friends and family;,Brand reputation/trust;Price;Recommendations (Health authorities/friends/family);,No,Extremely significant,"Yes, I will continue with the same precautions"
34,3-29-24 22:31:11,3-29-24 22:34:15,21-30,Male,Student,United States,No major impact on my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;Disinfectant spray;,Weekly,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, definitely",Somewhat increased awareness and importance,In-store displays and promotions;,Brand reputation/trust;,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
35,3-29-24 22:27:29,3-29-24 22:36:31,21-30,Male,Self-employed,India ,Actually improved some aspects of my daily routines,Neutral,Hand sanitizer/ Clorox;Mask;,Several times a week,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, to some extent",Somewhat increased awareness and importance,Social media and online platforms;Recommendations from friends and family;In-store displays and promotions;Television advertisements;,Brand reputation/trust;Price;Availability;Ingredients/composition;Recommendations (Health authorities/friends/family);Product effectiveness;,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
36,3-29-24 22:33:18,3-29-24 22:36:58,31-40,Male,Unemployed,United States,No major impact on my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;Disinfectant spray;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Social media and online platforms;,Price;Ingredients/composition;Product effectiveness;,No,Somewhat significant,"Yes, I will continue with the same precautions"
37,3-29-24 22:34:27,3-29-24 22:37:31,21-30,Female,Employed,United States,No major impact on my daily routines,Neutral,Hand sanitizer/ Clorox;,Several times a week,Less than $40,Less than $40,Several times a week,Increased usage,"Yes, definitely", Significantly increased awareness and importance,In-store displays and promotions;,Brand reputation/trust;Price;,No,Somewhat significant,"Yes, I will continue with the same precautions"
38,3-29-24 22:39:33,3-29-24 22:43:16,21-30,Female,Student,United States ,Significantly disrupted my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;,Several times a week,Less than $40,Less than $40,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;,Price;Ingredients/composition;Recommendations (Health authorities/friends/family);Product effectiveness;,Yes,Extremely significant,"Yes, I will continue with the same precautions"
39,3-29-24 22:36:34,3-29-24 22:44:01,31-40,Female,Student,India,Actually improved some aspects of my daily routines,Somewhat concerned,Mask;Hand sanitizer/ Clorox;Disinfectant spray;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;Recommendations from friends and family;,Ingredients/composition;Product effectiveness;,No,Somewhat significant,"No, I will reduce my precautions"
40,3-29-24 22:43:51,3-29-24 22:48:47,31-40,Male,Employed,India,Actually improved some aspects of my daily routines, Very concerned,Disinfectant spray;Hand sanitizer/ Clorox;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"No, not really",Somewhat increased awareness and importance,Social media and online platforms;,Price;Availability;Recommendations (Health authorities/friends/family);Ingredients/composition;,Yes,Extremely significant,"No, I will reduce my precautions"
41,3-29-24 22:44:46,3-29-24 22:48:53,21-30,Female,Student,United States,No major impact on my daily routines, Very concerned,Hand sanitizer/ Clorox;Mask;,Several times a week,Less than $40,Less than $40,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Recommendations from friends and family;,Brand reputation/trust;Availability;,No,Extremely significant,"Yes, I will continue with the same precautions"
42,3-29-24 22:51:55,3-29-24 22:54:43,21-30,Male,Student,United States,No major impact on my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;,Weekly,Less than $40,Less than $40,Monthly,Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Social media and online platforms;Recommendations from friends and family;In-store displays and promotions;,Brand reputation/trust;Price;Recommendations (Health authorities/friends/family);,Yes,Extremely significant,"Yes, I will continue with the same precautions"
43,3-29-24 22:52:13,3-29-24 23:01:07,61 above,Female,Homemaker,India ,No major impact on my daily routines, Very concerned,Hand sanitizer/ Clorox;,Rarely/Never,Less than $40,Less than $40,Monthly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Television advertisements;,Price;Product effectiveness;,No,Extremely significant,"No, I will reduce my precautions"
44,3-29-24 22:58:46,3-29-24 23:01:43,31-40,Male,Employed,India ,No major impact on my daily routines, Very concerned,Hand sanitizer/ Clorox;Disinfectant spray;,Several times a week,Less than $40,Less than $40,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;Recommendations from friends and family;In-store displays and promotions;,Brand reputation/trust;Price;Availability;Recommendations (Health authorities/friends/family);Product effectiveness;,No,Extremely significant,"Yes, I will continue with the same precautions"
45,3-29-24 23:01:31,3-29-24 23:03:41,21-30,Male,Student,United States,No major impact on my daily routines, Very concerned,Hand sanitizer/ Clorox;Disinfectant spray;Other;,Several times a week,Less than $40,Less than $40,Monthly,No change in usage,"Yes, to some extent",Somewhat increased awareness and importance,Social media and online platforms;Recommendations from friends and family;,Price;Availability;Recommendations (Health authorities/friends/family);,No,Somewhat significant,"Yes, I will continue with the same precautions"
46,3-29-24 22:57:50,3-29-24 23:05:37,31-40,Male,Employed,India ,No major impact on my daily routines, Very concerned,Disinfectant spray;Mask;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;In-store displays and promotions;,Price;Brand reputation/trust;Availability;Ingredients/composition;Recommendations (Health authorities/friends/family);Product effectiveness;,Yes,Extremely significant,"Yes, I will continue with the same precautions"
47,3-29-24 23:10:22,3-29-24 23:12:34,31-40,Male,Employed,United States,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;Mask;,Several times a week,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;,Brand reputation/trust;Price;Availability;,No,Extremely significant,"No, I will reduce my precautions"
48,3-29-24 23:16:36,3-29-24 23:19:26,31-40,Male,Employed,India,No major impact on my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;Other;,Several times a week,Less than $40,Less than $40,Monthly,Decreased usage,"Yes, definitely",Somewhat increased awareness and importance,Social media and online platforms;Television advertisements;Recommendations from friends and family;In-store displays and promotions;,Ingredients/composition;Product effectiveness;,No,Extremely significant,"No, I will reduce my precautions"
49,3-29-24 23:17:33,3-29-24 23:20:38,21-30,Male,Student,India ,Significantly disrupted my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;,Several times a week,Less than $40,Less than $40,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;Recommendations from friends and family;,Ingredients/composition;Brand reputation/trust;Product effectiveness;Recommendations (Health authorities/friends/family);,No,Extremely significant,"No, I will reduce my precautions"
50,3-29-24 23:21:28,3-29-24 23:24:48,61 above,Male,Retired,India ,Actually improved some aspects of my daily routines, Very concerned,Mask;,Several times a week,Less than $40,Less than $40,Several times a week,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;,Brand reputation/trust;,Yes,Extremely significant,"Yes, I will continue with the same precautions"
51,3-29-24 23:31:44,3-29-24 23:34:56,21-30,Male,Self-employed,India,No major impact on my daily routines, Very concerned,Disinfectant spray;,Several times a week,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;Recommendations from friends and family;,Ingredients/composition;Product effectiveness;Recommendations (Health authorities/friends/family);,Yes,Extremely significant,"Yes, I will continue with the same precautions"
52,3-29-24 23:35:14,3-29-24 23:38:36,31-40,Male,Employed,Canada,Actually improved some aspects of my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;Disinfectant spray;,Weekly,$40 - $80,$80-$120,Monthly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Other;,Ingredients/composition;Recommendations (Health authorities/friends/family);Product effectiveness;,Yes,Extremely significant,"Yes, I will continue with the same precautions"
53,3-29-24 23:36:34,3-29-24 23:40:29,21-30,Male,Employed,India,No major impact on my daily routines,Somewhat concerned,Mask;,Several times a week,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, to some extent",Somewhat increased awareness and importance,Social media and online platforms;Recommendations from friends and family;In-store displays and promotions;,Brand reputation/trust;Price;Ingredients/composition;Product effectiveness;,No,Extremely significant,"Yes, I will continue with the same precautions"
54,3-29-24 23:18:27,3-29-24 23:41:33,41-50,Male,Employed,United Arab Emirates ,No major impact on my daily routines,Somewhat concerned,Mask;Hand sanitizer/ Clorox;,Several times a week,$40 - $80,Less than $40,Monthly,Increased usage,"Yes, to some extent", Significantly increased awareness and importance,In-store displays and promotions;,Ingredients/composition;Availability;Recommendations (Health authorities/friends/family);Product effectiveness;Price;,Yes,Extremely significant,"Yes, I will continue with the same precautions"
55,3-29-24 23:04:56,3-29-24 23:42:08,31-40,Female,Employed,India,Significantly disrupted my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;,Several times a week,Less than $40,$40-$80,Less frequently (less than once a month),Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Social media and online platforms;,Recommendations (Health authorities/friends/family);,No,Somewhat significant,"No, I will reduce my precautions"
56,3-29-24 23:36:38,3-29-24 23:45:15,31-40,Female,Employed,India,Actually improved some aspects of my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;Disinfectant spray;Mask;,Several times a week,Less than $40,Less than $40,Weekly,Decreased usage,"Yes, to some extent", Significantly increased awareness and importance,Social media and online platforms;Television advertisements;In-store displays and promotions;,Availability;Recommendations (Health authorities/friends/family);,No,Somewhat significant,"Not sure yet, still evaluating"
57,3-29-24 23:46:57,3-29-24 23:49:38,21-30,Female,Employed,India,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;Disinfectant spray;,Weekly,Less than $40,Less than $40,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;,Brand reputation/trust;,Yes,Somewhat significant,"Not sure yet, still evaluating"
58,3-29-24 23:47:28,3-29-24 23:52:16,21-30,Female,Student,United States,Significantly disrupted my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;Disinfectant spray;Mask;,Monthly,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;,Price;Brand reputation/trust;Ingredients/composition;,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
59,3-29-24 23:59:12,3-30-24 0:01:41,21-30,Female,Student,United States,Significantly disrupted my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;,Weekly,Less than $40,Less than $40,Weekly,Increased usage,"No, not really", Significantly increased awareness and importance,Television advertisements;In-store displays and promotions;Recommendations from friends and family;,Brand reputation/trust;Price;,Yes,Extremely significant,"Not sure yet, still evaluating"
60,3-29-24 23:56:58,3-30-24 0:01:46,21-30,Female,Self-employed,India,Actually improved some aspects of my daily routines,Somewhat concerned,Mask;,Several times a week,$40 - $80,$80-$120,Weekly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Social media and online platforms;,Brand reputation/trust;Price;Availability;Ingredients/composition;Recommendations (Health authorities/friends/family);Product effectiveness;,No,Extremely significant,"Yes, I will continue with the same precautions"
